dataset,defense,size_diff,size_ratio,size_overhead,time_diff,time_ratio,time_overhead
liberatore,packet-random-uniform,16982.0625,1.1548969268866625,0.15489692688666237,0.0,1.0,0.0
liberatore,packet-random-gaussian,16987.655625,1.155233577399548,0.15523357739954782,0.0,1.0,0.0
liberatore,session-random-uniform,16799.08,1.156689003348976,0.15668900334897617,0.0,1.0,0.0
liberatore,session-random-gaussian,16841.680625,1.1548152076967662,0.15481520769676627,0.0,1.0,0.0
liberatore,packet-random-uniform,14345.9975,1.1826089778393025,0.18260897783930255,0.0,1.0,0.0
liberatore,packet-random-gaussian,14357.2825,1.1825189689686868,0.18251896896868683,0.0,1.0,0.0
liberatore,session-random-uniform,14426.4075,1.1850194386881356,0.1850194386881357,0.0,1.0,0.0
liberatore,session-random-gaussian,14534.178125,1.182736061181278,0.18273606118127816,0.0,1.0,0.0
liberatore,packet-random-uniform,17453.41,1.163560595278778,0.16356059527877798,0.0,1.0,0.0
liberatore,packet-random-gaussian,17441.4203125,1.1633039985618097,0.16330399856180972,0.0,1.0,0.0
liberatore,session-random-uniform,17392.1675,1.1651156942603373,0.16511569426033737,0.0,1.0,0.0
liberatore,session-random-gaussian,17627.3515625,1.1646878391716198,0.16468783917161964,0.0,1.0,0.0
liberatore,packet-random-uniform,15231.99,1.1743911319561906,0.1743911319561905,0.0,1.0,0.0
liberatore,packet-random-gaussian,15227.036875,1.1745834634042067,0.17458346340420647,0.0,1.0,0.0
liberatore,session-random-uniform,15337.6175,1.1701633975113908,0.1701633975113907,0.0,1.0,0.0
liberatore,session-random-gaussian,15378.0665625,1.1760684638371666,0.17606846383716665,0.0,1.0,0.0
liberatore,packet-random-uniform,16984.2175,1.1565813140744743,0.1565813140744743,0.0,1.0,0.0
liberatore,packet-random-gaussian,16945.979375,1.1568389672362036,0.15683896723620358,0.0,1.0,0.0
liberatore,session-random-uniform,16867.4425,1.153927005586038,0.15392700558603806,0.0,1.0,0.0
liberatore,session-random-gaussian,16908.7728125,1.155959195785276,0.155959195785276,0.0,1.0,0.0
liberatore,packet-random-uniform,18679.075,1.1547349370430617,0.15473493704306177,0.0,1.0,0.0
liberatore,packet-random-gaussian,18660.5690625,1.154999368594538,0.15499936859453795,0.0,1.0,0.0
liberatore,session-random-uniform,18179.77,1.1533694510495707,0.15336945104957084,0.0,1.0,0.0
liberatore,session-random-gaussian,18816.7796875,1.1544794275978827,0.1544794275978827,0.0,1.0,0.0
liberatore,packet-random-uniform,18480.74,1.1585982035247167,0.15859820352471654,0.0,1.0,0.0
liberatore,packet-random-gaussian,18470.3709375,1.158590351701471,0.15859035170147118,0.0,1.0,0.0
liberatore,session-random-uniform,18580.26,1.1569880447783332,0.15698804477833295,0.0,1.0,0.0
liberatore,session-random-gaussian,18408.1871875,1.1583316726919624,0.15833167269196247,0.0,1.0,0.0
liberatore,packet-random-uniform,17574.1825,1.1828082407930076,0.18280824079300761,0.0,1.0,0.0
liberatore,packet-random-gaussian,17567.63,1.1831552616643186,0.18315526166431859,0.0,1.0,0.0
liberatore,session-random-uniform,17452.5725,1.1824415385013736,0.18244153850137365,0.0,1.0,0.0
liberatore,session-random-gaussian,18030.031875,1.1846615214330083,0.18466152143300846,0.0,1.0,0.0
liberatore,packet-random-uniform,15846.3625,1.1607433686549549,0.1607433686549548,0.0,1.0,0.0
liberatore,packet-random-gaussian,15836.744375,1.1599507668374778,0.1599507668374778,0.0,1.0,0.0
liberatore,session-random-uniform,15908.7275,1.163372810906976,0.16337281090697617,0.0,1.0,0.0
liberatore,session-random-gaussian,15936.680625,1.1601387858009802,0.16013878580098007,0.0,1.0,0.0
liberatore,packet-random-uniform,14819.6275,1.1728283359478144,0.17282833594781433,0.0,1.0,0.0
liberatore,packet-random-gaussian,14833.0390625,1.1716842353937595,0.17168423539375946,0.0,1.0,0.0
liberatore,session-random-uniform,14449.1475,1.1653454950106243,0.16534549501062437,0.0,1.0,0.0
liberatore,session-random-gaussian,14944.251875,1.1738880345183107,0.17388803451831095,0.0,1.0,0.0
liberatore,packet-random-uniform,19039.8775,1.1574263806263756,0.15742638062637565,0.0,1.0,0.0
liberatore,packet-random-gaussian,19038.7025,1.1573692465804035,0.1573692465804036,0.0,1.0,0.0
liberatore,session-random-uniform,19328.3375,1.160925641852523,0.1609256418525228,0.0,1.0,0.0
liberatore,session-random-gaussian,19204.33125,1.1592213084831071,0.159221308483107,0.0,1.0,0.0
liberatore,packet-random-uniform,18570.69,1.169561198618031,0.16956119861803104,0.0,1.0,0.0
liberatore,packet-random-gaussian,18571.64,1.168704536426398,0.1687045364263979,0.0,1.0,0.0
liberatore,session-random-uniform,18526.585,1.175825584781337,0.17582558478133714,0.0,1.0,0.0
liberatore,session-random-gaussian,18678.1109375,1.1678162396667207,0.16781623966672066,0.0,1.0,0.0
liberatore,packet-random-uniform,16441.765,1.1646524568793535,0.16465245687935354,0.0,1.0,0.0
liberatore,packet-random-gaussian,16421.1596875,1.1657084385209606,0.16570843852096068,0.0,1.0,0.0
liberatore,session-random-uniform,16282.5525,1.1657779218656454,0.16577792186564544,0.0,1.0,0.0
liberatore,session-random-gaussian,16715.2225,1.1661108384832803,0.16611083848328043,0.0,1.0,0.0
liberatore,packet-random-uniform,17429.61,1.1488644915311779,0.14886449153117787,0.0,1.0,0.0
liberatore,packet-random-gaussian,17430.00125,1.149435848335579,0.14943584833557913,0.0,1.0,0.0
liberatore,session-random-uniform,17480.085,1.1524528673008596,0.1524528673008594,0.0,1.0,0.0
liberatore,session-random-gaussian,17681.8721875,1.1498936773028852,0.14989367730288508,0.0,1.0,0.0
liberatore,packet-random-uniform,17720.095,1.1953879332557602,0.19538793325576032,0.0,1.0,0.0
liberatore,packet-random-gaussian,17720.0459375,1.1957995515548265,0.1957995515548266,0.0,1.0,0.0
liberatore,session-random-uniform,17452.855,1.194212680653174,0.19421268065317407,0.0,1.0,0.0
liberatore,session-random-gaussian,17651.7465625,1.201121593199073,0.20112159319907305,0.0,1.0,0.0
liberatore,packet-random-uniform,18756.075,1.1773371955891963,0.17733719558919617,0.0,1.0,0.0
liberatore,packet-random-gaussian,18759.8140625,1.1785635292999697,0.17856352929996952,0.0,1.0,0.0
liberatore,session-random-uniform,18517.2225,1.178730380944814,0.17873038094481386,0.0,1.0,0.0
liberatore,session-random-gaussian,18868.8409375,1.179034512248663,0.17903451224866299,0.0,1.0,0.0
liberatore,packet-random-uniform,17293.1,1.152214078812845,0.15221407881284504,0.0,1.0,0.0
liberatore,packet-random-gaussian,17322.0596875,1.1523166097612643,0.15231660976126438,0.0,1.0,0.0
liberatore,session-random-uniform,17720.52,1.1525531780525309,0.15255317805253088,0.0,1.0,0.0
liberatore,session-random-gaussian,17271.5559375,1.1509789868993046,0.1509789868993044,0.0,1.0,0.0
liberatore,packet-random-uniform,16380.3,1.1595503614902685,0.1595503614902684,0.0,1.0,0.0
liberatore,packet-random-gaussian,16380.7709375,1.1602051515798204,0.16020515157982027,0.0,1.0,0.0
liberatore,session-random-uniform,16350.165,1.1640887801232136,0.16408878012321357,0.0,1.0,0.0
liberatore,session-random-gaussian,16414.8046875,1.1606400345653922,0.16064003456539205,0.0,1.0,0.0
liberatore,packet-random-uniform,15998.4375,1.1742993132411446,0.17429931324114456,0.0,1.0,0.0
liberatore,packet-random-gaussian,15973.7171875,1.174261919990892,0.1742619199908919,0.0,1.0,0.0
liberatore,session-random-uniform,15942.0875,1.1731356244740336,0.17313562447403374,0.0,1.0,0.0
liberatore,session-random-gaussian,16095.3159375,1.173787751996226,0.17378775199622618,0.0,1.0,0.0
liberatore,packet-random-uniform,16750.1975,1.1650210244629682,0.16502102446296812,0.0,1.0,0.0
liberatore,packet-random-gaussian,16728.3178125,1.1643893341194982,0.1643893341194982,0.0,1.0,0.0
liberatore,session-random-uniform,16524.21,1.1609220538755087,0.16092205387550862,0.0,1.0,0.0
liberatore,session-random-gaussian,16860.6009375,1.1655757649355367,0.16557576493553697,0.0,1.0,0.0
liberatore,packet-random-uniform,18276.1975,1.150685991934663,0.15068599193466295,0.0,1.0,0.0
liberatore,packet-random-gaussian,18259.010625,1.1508151985766406,0.1508151985766407,0.0,1.0,0.0
liberatore,session-random-uniform,18502.8825,1.152077902046189,0.1520779020461891,0.0,1.0,0.0
liberatore,session-random-gaussian,18169.990625,1.1502429040814632,0.15024290408146324,0.0,1.0,0.0
liberatore,packet-random-uniform,17085.435,1.1610125312557054,0.16101253125570533,0.0,1.0,0.0
liberatore,packet-random-gaussian,17084.49375,1.1615702262852579,0.16157022628525797,0.0,1.0,0.0
liberatore,session-random-uniform,17348.38,1.1644067573326522,0.16440675733265223,0.0,1.0,0.0
liberatore,session-random-gaussian,17064.604375,1.1605810673461767,0.16058106734617664,0.0,1.0,0.0
liberatore,packet-random-uniform,19595.325,1.148613688046591,0.14861368804659095,0.0,1.0,0.0
liberatore,packet-random-gaussian,19591.620625,1.1492766626904314,0.1492766626904313,0.0,1.0,0.0
liberatore,session-random-uniform,19697.53,1.1504381790296896,0.15043817902968942,0.0,1.0,0.0
liberatore,session-random-gaussian,19572.498125,1.1485707784905386,0.1485707784905385,0.0,1.0,0.0
liberatore,packet-random-uniform,17903.6875,1.1554282848486763,0.15542828484867624,0.0,1.0,0.0
liberatore,packet-random-gaussian,17936.335625,1.1561507578124852,0.1561507578124852,0.0,1.0,0.0
liberatore,session-random-uniform,17843.0,1.1568149197825377,0.15681491978253775,0.0,1.0,0.0
liberatore,session-random-gaussian,18125.4334375,1.1554693278977308,0.15546932789773085,0.0,1.0,0.0
liberatore,packet-random-uniform,17399.319787433575,1.1825225520029015,0.18252255200290143,0.0,1.0,0.0
liberatore,packet-random-gaussian,17428.949046577054,1.183098456093551,0.18309845609355088,0.0,1.0,0.0
liberatore,session-random-uniform,17137.943107221006,1.1832282912041927,0.1832282912041928,0.0,1.0,0.0
liberatore,session-random-gaussian,17517.052829009066,1.1833772534693359,0.18337725346933573,0.0,1.0,0.0
liberatore,packet-random-uniform,17869.9668646452,1.1600176026728253,0.16001760267282542,0.0,1.0,0.0
liberatore,packet-random-gaussian,17856.354485776807,1.161088516759194,0.161088516759194,0.0,1.0,0.0
liberatore,session-random-uniform,17906.060643951234,1.1640703622265187,0.16407036222651877,0.0,1.0,0.0
liberatore,session-random-gaussian,18054.774617067833,1.1588706382415301,0.15887063824153014,0.0,1.0,0.0
liberatore,packet-random-uniform,18264.295,1.1522213637804313,0.15222136378043147,0.0,1.0,0.0
liberatore,packet-random-gaussian,18260.753125,1.152952014072924,0.15295201407292397,0.0,1.0,0.0
liberatore,session-random-uniform,17920.8125,1.154778968634365,0.1547789686343649,0.0,1.0,0.0
liberatore,session-random-gaussian,18399.990625,1.1533203537278722,0.15332035372787245,0.0,1.0,0.0
liberatore,packet-random-uniform,16631.41,1.1560104639174262,0.15601046391742626,0.0,1.0,0.0
liberatore,packet-random-gaussian,16628.5303125,1.1569868167901307,0.15698681679013066,0.0,1.0,0.0
liberatore,session-random-uniform,16835.745,1.1578351331746812,0.1578351331746813,0.0,1.0,0.0
liberatore,session-random-gaussian,16464.4165625,1.1522901915972803,0.1522901915972804,0.0,1.0,0.0
liberatore,packet-random-uniform,16741.585,1.1668462613720652,0.1668462613720651,0.0,1.0,0.0
liberatore,packet-random-gaussian,16750.09,1.168309102604538,0.16830910260453788,0.0,1.0,0.0
liberatore,session-random-uniform,16777.975,1.170085830882008,0.17008583088200788,0.0,1.0,0.0
liberatore,session-random-gaussian,16791.3928125,1.1693091156134279,0.16930911561342796,0.0,1.0,0.0
liberatore,packet-random-uniform,14603.5975,1.1915803280687831,0.19158032806878306,0.0,1.0,0.0
liberatore,packet-random-gaussian,14604.601875,1.1916087351926248,0.1916087351926249,0.0,1.0,0.0
liberatore,session-random-uniform,14588.0625,1.1861824981037077,0.18618249810370766,0.0,1.0,0.0
liberatore,session-random-gaussian,14828.413125,1.1911736935041686,0.19117369350416846,0.0,1.0,0.0
liberatore,packet-random-uniform,16607.47,1.1807953640302358,0.18079536403023583,0.0,1.0,0.0
liberatore,packet-random-gaussian,16613.3246875,1.1812069407063435,0.1812069407063435,0.0,1.0,0.0
liberatore,session-random-uniform,16560.2075,1.1830630786735394,0.18306307867353952,0.0,1.0,0.0
liberatore,session-random-gaussian,16693.8475,1.1816248628360728,0.18162486283607288,0.0,1.0,0.0
liberatore,packet-random-uniform,16833.025,1.180349431075113,0.18034943107511311,0.0,1.0,0.0
liberatore,packet-random-gaussian,16846.515625,1.1798789830824956,0.1798789830824957,0.0,1.0,0.0
liberatore,session-random-uniform,16631.8575,1.179338349880107,0.17933834988010702,0.0,1.0,0.0
liberatore,session-random-gaussian,17069.818125,1.1834464422148105,0.18344644221481046,0.0,1.0,0.0
liberatore,packet-random-uniform,15259.8975,1.1635901961135569,0.16359019611355685,0.0,1.0,0.0
liberatore,packet-random-gaussian,15255.9403125,1.1642855773122978,0.16428557731229784,0.0,1.0,0.0
liberatore,session-random-uniform,15380.02,1.1663502624460977,0.16635026244609777,0.0,1.0,0.0
liberatore,session-random-gaussian,15353.0403125,1.1658924014659182,0.16589240146591813,0.0,1.0,0.0
liberatore,packet-random-uniform,15824.0575,1.1731247761375665,0.17312477613756638,0.0,1.0,0.0
liberatore,packet-random-gaussian,15819.205,1.1751496107529937,0.17514961075299376,0.0,1.0,0.0
liberatore,session-random-uniform,16174.935,1.1796931548207223,0.17969315482072232,0.0,1.0,0.0
liberatore,session-random-gaussian,15903.1284375,1.1740794250922832,0.17407942509228336,0.0,1.0,0.0
liberatore,packet-random-uniform,15115.2375,1.1717512699075348,0.17175126990753464,0.0,1.0,0.0
liberatore,packet-random-gaussian,15143.6484375,1.1727330862078877,0.1727330862078877,0.0,1.0,0.0
liberatore,session-random-uniform,14864.9775,1.1712425615170237,0.1712425615170236,0.0,1.0,0.0
liberatore,session-random-gaussian,15326.2171875,1.1724620757373818,0.17246207573738195,0.0,1.0,0.0
liberatore,packet-random-uniform,19369.195,1.1592723391881414,0.15927233918814163,0.0,1.0,0.0
liberatore,packet-random-gaussian,19355.6309375,1.159973600861502,0.15997360086150197,0.0,1.0,0.0
liberatore,session-random-uniform,19194.2525,1.1562474144661126,0.1562474144661126,0.0,1.0,0.0
liberatore,session-random-gaussian,19436.746875,1.1592398715594512,0.15923987155945135,0.0,1.0,0.0
liberatore,packet-random-uniform,15736.4425,1.1725343771392047,0.17253437713920466,0.0,1.0,0.0
liberatore,packet-random-gaussian,15743.9934375,1.1736295058360011,0.17362950583600104,0.0,1.0,0.0
liberatore,session-random-uniform,16149.4625,1.1776913540148548,0.1776913540148547,0.0,1.0,0.0
liberatore,session-random-gaussian,15638.379375,1.1732493759686355,0.17324937596863546,0.0,1.0,0.0
liberatore,packet-random-uniform,20393.823069709284,1.1533319886218976,0.15333198862189754,0.0,1.0,0.0
liberatore,packet-random-gaussian,20357.565176617692,1.1527460716186109,0.1527460716186109,0.0,1.0,0.0
liberatore,session-random-uniform,20460.924038762114,1.1514878373368942,0.15148783733689425,0.0,1.0,0.0
liberatore,session-random-gaussian,20499.72772741482,1.1545740122982873,0.15457401229828732,0.0,1.0,0.0
liberatore,packet-random-uniform,16874.3275,1.17081704326366,0.1708170432636601,0.0,1.0,0.0
liberatore,packet-random-gaussian,16871.0946875,1.1713089708774265,0.17130897087742647,0.0,1.0,0.0
liberatore,session-random-uniform,16742.925,1.1709816713117158,0.17098167131171585,0.0,1.0,0.0
liberatore,session-random-gaussian,16841.4459375,1.1719522900731763,0.17195229007317642,0.0,1.0,0.0
liberatore,packet-random-uniform,17620.93,1.1657937216752858,0.16579372167528575,0.0,1.0,0.0
liberatore,packet-random-gaussian,17644.7903125,1.1669960827056258,0.16699608270562577,0.0,1.0,0.0
liberatore,session-random-uniform,17962.195,1.171767991334949,0.1717679913349489,0.0,1.0,0.0
liberatore,session-random-gaussian,17796.4146875,1.1686436025807345,0.1686436025807344,0.0,1.0,0.0
liberatore,packet-random-uniform,15125.15,1.1950429419983715,0.1950429419983714,0.0,1.0,0.0
liberatore,packet-random-gaussian,15124.6525,1.1965414363940556,0.1965414363940556,0.0,1.0,0.0
liberatore,session-random-uniform,15549.4375,1.1984209028652686,0.19842090286526853,0.0,1.0,0.0
liberatore,session-random-gaussian,15008.1896875,1.1937923352241373,0.19379233522413739,0.0,1.0,0.0
liberatore,packet-random-uniform,18709.29,1.2000640081567417,0.2000640081567418,0.0,1.0,0.0
liberatore,packet-random-gaussian,18704.694375,1.200138537327566,0.20013853732756573,0.0,1.0,0.0
liberatore,session-random-uniform,18639.5025,1.196687433759025,0.196687433759025,0.0,1.0,0.0
liberatore,session-random-gaussian,18776.969375,1.199447240822751,0.199447240822751,0.0,1.0,0.0
liberatore,packet-random-uniform,16396.2875,1.1493368371257735,0.14933683712577345,0.0,1.0,0.0
liberatore,packet-random-gaussian,16385.683125,1.1490525411425103,0.14905254114251046,0.0,1.0,0.0
liberatore,session-random-uniform,16685.2025,1.1479210735506227,0.1479210735506226,0.0,1.0,0.0
liberatore,session-random-gaussian,16405.241875,1.1497055256684485,0.14970552566844852,0.0,1.0,0.0
liberatore,packet-random-uniform,15424.62,1.1710288034032528,0.17102880340325277,0.0,1.0,0.0
liberatore,packet-random-gaussian,15394.96125,1.171690481263154,0.1716904812631538,0.0,1.0,0.0
liberatore,session-random-uniform,15280.6625,1.1692896057155793,0.1692896057155793,0.0,1.0,0.0
liberatore,session-random-gaussian,15339.5678125,1.1720865880556368,0.17208658805563679,0.0,1.0,0.0
liberatore,packet-random-uniform,17777.5225,1.1644585922341322,0.16445859223413214,0.0,1.0,0.0
liberatore,packet-random-gaussian,17798.034375,1.1647300903321511,0.16473009033215116,0.0,1.0,0.0
liberatore,session-random-uniform,17749.475,1.1632556656242032,0.16325566562420338,0.0,1.0,0.0
liberatore,session-random-gaussian,18044.5090625,1.1647219548870091,0.1647219548870092,0.0,1.0,0.0
liberatore,packet-random-uniform,16324.795,1.1845763443440136,0.18457634434401357,0.0,1.0,0.0
liberatore,packet-random-gaussian,16327.0146875,1.184804181213436,0.18480418121343592,0.0,1.0,0.0
liberatore,session-random-uniform,16424.6725,1.1847931434764405,0.18479314347644052,0.0,1.0,0.0
liberatore,session-random-gaussian,16351.375,1.1855438668333909,0.18554386683339075,0.0,1.0,0.0
liberatore,packet-random-uniform,17596.4725,1.1668403698552705,0.1668403698552706,0.0,1.0,0.0
liberatore,packet-random-gaussian,17567.80625,1.1671342913182456,0.16713429131824553,0.0,1.0,0.0
liberatore,session-random-uniform,17342.355,1.165715285285701,0.16571528528570112,0.0,1.0,0.0
liberatore,session-random-gaussian,17616.8003125,1.1653690180335645,0.16536901803356444,0.0,1.0,0.0
liberatore,packet-random-uniform,17099.07,1.1587411223190873,0.15874112231908735,0.0,1.0,0.0
liberatore,packet-random-gaussian,17107.3509375,1.159044694891036,0.15904469489103587,0.0,1.0,0.0
liberatore,session-random-uniform,17268.1525,1.1560616448695107,0.15606164486951069,0.0,1.0,0.0
liberatore,session-random-gaussian,17050.833125,1.1592274527010904,0.15922745270109026,0.0,1.0,0.0
liberatore,packet-random-uniform,17495.9175,1.1590731381451223,0.15907313814512253,0.0,1.0,0.0
liberatore,packet-random-gaussian,17472.043125,1.157698143081667,0.15769814308166696,0.0,1.0,0.0
liberatore,session-random-uniform,17403.165,1.160901336873339,0.16090133687333882,0.0,1.0,0.0
liberatore,session-random-gaussian,17399.810625,1.1565651786919227,0.15656517869192282,0.0,1.0,0.0
liberatore,packet-random-uniform,16768.6625,1.1538290119675076,0.15382901196750773,0.0,1.0,0.0
liberatore,packet-random-gaussian,16773.0609375,1.1545164158644388,0.15451641586443882,0.0,1.0,0.0
liberatore,session-random-uniform,16569.4525,1.1522169772861324,0.15221697728613232,0.0,1.0,0.0
liberatore,session-random-gaussian,16672.9321875,1.1533510850743802,0.15335108507438025,0.0,1.0,0.0
